profile,band,weight,n,mean_alloc_m,total_alloc_m
t=0.65,Band 3,1.035,30,6.72591,201.777
t=0.65,Band 4,0.9825,18,6.38474,114.925
t=0.65,Band 5,0.9125,3,5.92985,17.7895
t=0.65,Band 6,0.79,1,5.13379,5.13379
t=0.70,Band 1,1.15,31,7.55659,234.254
t=0.70,Band 2,1.09,59,7.16234,422.578
t=0.70,Band 3,1.03,30,6.76808,203.042
t=0.70,Band 4,0.985,18,6.47239,116.503
t=0.70,Band 5,0.925,3,6.07813,18.2344
t=0.70,Band 6,0.82,1,5.38818,5.38818
t=0.75,Band 1,1.125,31,7.4757,231.747
t=0.75,Band 2,1.075,59,7.14345,421.464
t=0.75,Band 3,1.025,30,6.8112,204.336
t=0.75,Band 4,0.9875,18,6.56201,118.116
t=0.75,Band 5,0.9375,3,6.22975,18.6893
t=0.75,Band 6,0.85,1,5.64831,5.64831
t=0.80,Band 1,1.1,31,7.39297,229.182
t=0.80,Band 2,1.06,59,7.12413,420.324
t=0.80,Band 3,1.02,30,6.8553,205.659
t=0.80,Band 4,0.99,18,6.65367,119.766
t=0.80,Band 5,0.95,3,6.38484,19.1545
t=0.80,Band 6,0.88,1,5.91438,5.91438
t=0.85,Band 1,1.075,31,7.30833,226.558
t=0.85,Band 2,1.045,59,7.10437,419.158
t=0.85,Band 3,1.015,30,6.90042,207.013
t=0.85,Band 4,0.9925,18,6.74745,121.454
t=0.85,Band 5,0.9625,3,6.5435,19.6305
t=0.85,Band 6,0.91,1,6.18658,6.18658
t=0.90,Band 1,1.05,31,7.22171,223.873
t=0.90,Band 2,1.03,59,7.08415,417.965
t=0.90,Band 3,1.01,30,6.94659,208.398
t=0.90,Band 4,0.995,18,6.84343,123.182
t=0.90,Band 5,0.975,3,6.70587,20.1176
t=0.90,Band 6,0.94,1,6.46515,6.46515
t=0.95,Band 1,1.025,31,7.13304,221.124
t=0.95,Band 2,1.015,59,7.06345,416.744
t=0.95,Band 3,1.005,30,6.99386,209.816
t=0.95,Band 4,0.9975,18,6.94167,124.95
t=0.95,Band 5,0.9875,3,6.87208,20.6162
t=0.95,Band 6,0.97,1,6.75029,6.75029
