Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
77,Benin,7.0181,3.5091,3.5091,6.9821,0.0360,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
78,Honduras,7.0179,3.5089,3.5089,6.9821,0.0358,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
79,Malawi,7.0122,3.5061,3.5061,6.9821,0.0301,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
80,Georgia,7.0043,3.5022,3.5022,6.9821,0.0222,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
81,Togo,6.9995,3.4997,3.4997,6.9821,0.0174,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
82,Republic of Moldova,6.9926,3.4963,3.4963,6.9821,0.0105,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
83,Armenia,6.9911,3.4956,3.4956,6.9821,0.0090,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
84,Equatorial Guinea,6.9911,3.4955,3.4955,6.9821,0.0090,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
85,Albania,6.9909,3.4954,3.4954,6.9821,0.0088,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
86,North Macedonia,6.9902,3.4951,3.4951,6.9821,0.0081,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
87,Rwanda,6.9900,3.4950,3.4950,6.9821,0.0079,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
88,Djibouti,6.9895,3.4948,3.4948,6.9821,0.0074,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
89,Eswatini,6.9876,3.4938,3.4938,6.9821,0.0055,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
90,Montenegro,6.9864,3.4932,3.4932,6.9821,0.0043,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
91,Guyana,6.7446,3.3723,3.3723,5.9079,0.0675,0.7692,High income,False,True,False,Band 3: 0.01% - 0.1%
92,Brazil,6.6995,3.3497,3.3497,4.0281,2.6714,0.0000,Upper middle income,False,False,False,Band 5: 1.0% - 10.0%
93,Dominican Republic,6.6926,3.3463,3.3463,5.9079,0.0154,0.7692,Upper middle income,False,True,False,Band 3: 0.01% - 0.1%
94,Bahamas,6.6804,3.3402,3.3402,5.9079,0.0032,0.7692,High income,False,True,False,Band 3: 0.01% - 0.1%
95,Trinidad and Tobago,6.6788,3.3394,3.3394,5.9079,0.0016,0.7692,High income,False,True,False,Band 3: 0.01% - 0.1%
96,Algeria,6.6692,3.3346,3.3346,5.9079,0.7612,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
