iso3c,party,WB Income Group,WB Region,WB Lending Category,rank_iusaf,is_ldc,is_sids,un_band,band_weight,rank,alloc_iusaf,share_iusaf,rank_strict,alloc_strict,share_strict,rank_gini_minimum,alloc_gini_minimum,share_gini_minimum,rank_boundary,alloc_boundary,share_boundary
PER,Peru,Upper middle income,Latin America & Caribbean,IBRD,121,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,121,5399261,0.005399261,128,5401756,0.005401756,128,5511404,0.005511404,129,5621052,0.005621052
NGA,Nigeria,Lower middle income,Sub-Saharan Africa,Blend,122,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,122,5399261,0.005399261,132,5330950,0.00533095,132,5393394,0.005393394,133,5455838,0.005455838
PHL,Philippines,Lower middle income,East Asia & Pacific,IBRD,123,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,123,5399261,0.005399261,139,5213473,0.005213473,139,5197600,0.0051976,141,5181727,0.005181727
ARG,Argentina,Upper middle income,Latin America & Caribbean,IBRD,124,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,124,5399261,0.005399261,123,5681100,0.0056811,112,5976978,0.005976978,100,6272856,0.006272856
SGP,Singapore,High income,East Asia & Pacific,,125,FALSE,TRUE,Band 4: 0.1% - 1.0%,0.95,125,5399261,0.005399261,122,5925663,0.005925663,125,5871762,0.005871762,127,5817861,0.005817861
THA,Thailand,Upper middle income,East Asia & Pacific,IBRD,126,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,126,5399261,0.005399261,135,5254266,0.005254266,135,5265588,0.005265588,137,5276910,0.00527691
COL,Colombia,Upper middle income,Latin America & Caribbean,IBRD,127,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,127,5399261,0.005399261,130,5369060,0.00536906,130,5456910,0.00545691,131,5544761,0.005544761
TUR,Türkiye,Upper middle income,Europe & Central Asia,IBRD,128,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,128,5399261,0.005399261,134,5303884,0.005303884,134,5348284,0.005348284,135,5392684,0.005392684
CUB,Cuba,Upper middle income,Latin America & Caribbean,,129,FALSE,TRUE,Band 4: 0.1% - 1.0%,0.95,129,5399261,0.005399261,121,5945431,0.005945431,124,5904708,0.005904708,124,5863986,0.005863986
KAZ,Kazakhstan,Upper middle income,Europe & Central Asia,IBRD,130,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,130,5399261,0.005399261,124,5674007,0.005674007,114,5965156,0.005965156,101,6256305,0.006256305
EGY,Egypt,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",IBRD,131,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,131,5399261,0.005399261,131,5347189,0.005347189,131,5420459,0.005420459,132,5493729,0.005493729
IRN,Iran (Islamic Republic of),Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",IBRD,132,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,132,5399261,0.005399261,127,5467436,0.005467436,127,5620871,0.005620871,128,5774306,0.005774306
MYS,Malaysia,Upper middle income,East Asia & Pacific,IBRD,133,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,133,5399261,0.005399261,137,5219299,0.005219299,137,5207310,0.00520731,139,5195321,0.005195321
IDN,Indonesia,Upper middle income,East Asia & Pacific,IBRD,134,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,134,5399261,0.005399261,126,5519223,0.005519223,126,5707184,0.005707184,117,5895144,0.005895144
VNM,Viet Nam,Lower middle income,East Asia & Pacific,IBRD,135,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,135,5399261,0.005399261,138,5216400,0.0052164,138,5202477,0.005202477,140,5188555,0.005188555
PAK,Pakistan,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",Blend,136,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,136,5399261,0.005399261,133,5304123,0.005304123,133,5348684,0.005348684,134,5393244,0.005393244
IRQ,Iraq,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",IBRD,137,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,137,5399261,0.005399261,136,5239546,0.005239546,136,5241055,0.005241055,138,5242563,0.005242563
ZAF,South Africa,Upper middle income,Sub-Saharan Africa,IBRD,138,FALSE,FALSE,Band 4: 0.1% - 1.0%,0.95,138,5399261,0.005399261,129,5388925,0.005388925,129,5490019,0.005490019,130,5591113,0.005591113
BRA,Brazil,Upper middle income,Latin America & Caribbean,IBRD,139,FALSE,FALSE,Band 5: 1.0% - 10.0%,0.75,139,4262575,0.004262575,125,5673571,0.005673571,92,6699487,0.006699487,36,7725403,0.007725403
MEX,Mexico,Upper middle income,Latin America & Caribbean,IBRD,140,FALSE,FALSE,Band 5: 1.0% - 10.0%,0.75,140,4262575,0.004262575,141,4443544,0.004443544,142,4649441,0.004649441,142,4855338,0.004855338
IND,India,Lower middle income,South Asia,IBRD,141,FALSE,FALSE,Band 5: 1.0% - 10.0%,0.75,141,4262575,0.004262575,140,4640917,0.004640917,141,4978397,0.004978397,136,5315878,0.005315878
CHN,China,Upper middle income,East Asia & Pacific,IBRD,142,FALSE,FALSE,Band 6: > 10.0%,0.4,142,2273373,0.002273373,142,3971417,0.003971417,140,5148914,0.005148914,99,6326410,0.00632641
