iso3c,party,WB Income Group,WB Region,WB Lending Category,rank_iusaf,is_ldc,is_sids,un_band,band_weight,rank,alloc_iusaf,share_iusaf,rank_strict,alloc_strict,share_strict,rank_gini_minimum,alloc_gini_minimum,share_gini_minimum,rank_boundary,alloc_boundary,share_boundary
VCT,Saint Vincent and the Grenadines,Upper middle income,Latin America & Caribbean,Blend,25,FALSE,TRUE,Band 1: <= 0.001%,1.5,25,8525149,0.008525149,15,8910823,0.008910823,15,8825621,0.008825621,15,8740420,0.00874042
TLS,Timor-Leste,Lower middle income,East Asia & Pacific,Blend,26,TRUE,TRUE,Band 1: <= 0.001%,1.5,26,8525149,0.008525149,4,8913600,0.0089136,4,8830249,0.008830249,4,8746899,0.008746899
WSM,Samoa,Upper middle income,East Asia & Pacific,IDA,27,FALSE,TRUE,Band 1: <= 0.001%,1.5,27,8525149,0.008525149,7,8911281,0.008911281,7,8826385,0.008826385,7,8741489,0.008741489
CPV,Cabo Verde,Upper middle income,Sub-Saharan Africa,Blend,28,FALSE,TRUE,Band 1: <= 0.001%,1.5,28,8525149,0.008525149,6,8911521,0.008911521,6,8826785,0.008826785,6,8742049,0.008742049
LBR,Liberia,Low income,Sub-Saharan Africa,IDA,29,TRUE,FALSE,Band 1: <= 0.001%,1.5,29,8525149,0.008525149,25,8159988,0.008159988,25,8087051,0.008087051,25,8014113,0.008014113
BDI,Burundi,Low income,Sub-Saharan Africa,IDA,30,TRUE,FALSE,Band 1: <= 0.001%,1.5,30,8525149,0.008525149,29,8146442,0.008146442,29,8064474,0.008064474,29,7982505,0.007982505
GRD,Grenada,Upper middle income,Latin America & Caribbean,Blend,31,FALSE,TRUE,Band 1: <= 0.001%,1.5,31,8525149,0.008525149,16,8910813,0.008910813,16,8825605,0.008825605,16,8740397,0.008740397
SYC,Seychelles,High income,Sub-Saharan Africa,IBRD,32,FALSE,TRUE,Band 2: 0.001% - 0.01%,1.3,32,7388463,0.007388463,39,7825301,0.007825301,39,7751475,0.007751475,42,7677649,0.007677649
AGO,Angola,Lower middle income,Sub-Saharan Africa,IBRD,33,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,33,7388463,0.007388463,48,7295057,0.007295057,48,7380556,0.007380556,49,7466055,0.007466055
MNE,Montenegro,Upper middle income,Europe & Central Asia,IBRD,34,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,34,7388463,0.007388463,90,7058561,0.007058561,90,6986396,0.006986396,91,6914231,0.006914231
MMR,Myanmar,Lower middle income,East Asia & Pacific,IDA,35,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,35,7388463,0.007388463,56,7181142,0.007181142,56,7190698,0.007190698,57,7200253,0.007200253
BFA,Burkina Faso,Low income,Sub-Saharan Africa,IDA,36,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,36,7388463,0.007388463,64,7108449,0.007108449,64,7069543,0.007069543,65,7030636,0.007030636
GNQ,Equatorial Guinea,Upper middle income,Sub-Saharan Africa,IBRD,37,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,37,7388463,0.007388463,84,7061361,0.007061361,84,6991062,0.006991062,85,6920764,0.006920764
SWZ,Eswatini,Lower middle income,Sub-Saharan Africa,Blend,38,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,38,7388463,0.007388463,89,7059280,0.00705928,89,6987594,0.006987594,90,6915909,0.006915909
FJI,Fiji,Upper middle income,East Asia & Pacific,Blend,39,FALSE,TRUE,Band 2: 0.001% - 0.01%,1.3,39,7388463,0.007388463,35,7828716,0.007828716,35,7757167,0.007757167,38,7685618,0.007685618
MNG,Mongolia,Upper middle income,East Asia & Pacific,IBRD,40,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,40,7388463,0.007388463,45,7354850,0.00735485,45,7480211,0.007480211,46,7605572,0.007605572
NIC,Nicaragua,Lower middle income,Latin America & Caribbean,IDA,41,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,41,7388463,0.007388463,76,7079059,0.007079059,76,7020559,0.007020559,77,6962059,0.006962059
NER,Niger,Low income,Sub-Saharan Africa,IDA,42,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,42,7388463,0.007388463,46,7298893,0.007298893,46,7386949,0.007386949,47,7475004,0.007475004
