t,w1,w2,w3,w4,w5,w6,spread,b1_b6_ratio,b1_b5_ratio,b1_b4_ratio,gini,b1_mean_m,b6_mean_m,ldc_total_m,sids_total_m,b1_total_m
0.885,1.0575,1.0345,1.0115,0.99425,0.97125,0.931,0.1265,1.13588,1.0888,1.06362,0.0121001,7.2479,6.3809,314.021,278.806,224.685
0.89,1.055,1.033,1.011,0.9945,0.9725,0.934,0.121,1.12955,1.08483,1.06083,0.0115875,7.23919,6.40891,313.845,278.63,224.415
0.895,1.0525,1.0315,1.0105,0.99475,0.97375,0.937,0.1155,1.12327,1.08087,1.05805,0.0110737,7.23046,6.437,313.668,278.453,224.144
0.9,1.05,1.03,1.01,0.995,0.975,0.94,0.11,1.11702,1.07692,1.05528,0.0105587,7.22171,6.46515,313.491,278.276,223.873
0.905,1.0475,1.0285,1.0095,0.99525,0.97625,0.943,0.1045,1.11082,1.07298,1.0525,0.0100424,7.21293,6.49336,313.313,278.099,223.601
0.91,1.045,1.027,1.009,0.9955,0.9775,0.946,0.099,1.10465,1.06905,1.04972,0.00952503,7.20414,6.52164,313.135,277.921,223.328
0.915,1.0425,1.0255,1.0085,0.99575,0.97875,0.949,0.0935,1.09852,1.06513,1.04695,0.0090064,7.19532,6.54999,312.957,277.743,223.055
0.92,1.04,1.024,1.008,0.996,0.98,0.952,0.088,1.09244,1.06122,1.04418,0.00848656,7.18649,6.5784,312.778,277.564,222.781
0.925,1.0375,1.0225,1.0075,0.99625,0.98125,0.955,0.0825,1.08639,1.05732,1.04141,0.00796549,7.17763,6.60688,312.599,277.385,222.507
0.93,1.035,1.021,1.007,0.9965,0.9825,0.958,0.077,1.08038,1.05344,1.03864,0.0074432,7.16876,6.63543,312.419,277.206,222.231
0.935,1.0325,1.0195,1.0065,0.99675,0.98375,0.961,0.0715,1.0744,1.04956,1.03587,0.00691968,7.15986,6.66404,312.239,277.026,221.956
0.94,1.03,1.018,1.006,0.997,0.985,0.964,0.066,1.06846,1.04569,1.0331,0.00639492,7.15094,6.69272,312.059,276.846,221.679
0.945,1.0275,1.0165,1.0055,0.99725,0.98625,0.967,0.0605,1.06256,1.04183,1.03033,0.00586893,7.142,6.72147,311.878,276.665,221.402
0.95,1.025,1.015,1.005,0.9975,0.9875,0.97,0.055,1.0567,1.03797,1.02757,0.00534169,7.13304,6.75029,311.696,276.484,221.124
0.955,1.0225,1.0135,1.0045,0.99775,0.98875,0.973,0.0495,1.05087,1.03413,1.02481,0.00481321,7.12406,6.77918,311.515,276.302,220.846
0.96,1.02,1.012,1.004,0.998,0.99,0.976,0.044,1.04508,1.0303,1.02204,0.00428348,7.11505,6.80813,311.332,276.12,220.567
0.965,1.0175,1.0105,1.0035,0.99825,0.99125,0.979,0.0385,1.03933,1.02648,1.01928,0.00375248,7.10603,6.83715,311.15,275.937,220.287
0.97,1.015,1.009,1.003,0.9985,0.9925,0.982,0.033,1.0336,1.02267,1.01652,0.00322023,7.09698,6.86624,310.967,275.755,220.007
0.975,1.0125,1.0075,1.0025,0.99875,0.99375,0.985,0.0275,1.02792,1.01887,1.01377,0.00268672,7.08792,6.89541,310.783,275.571,219.725
0.98,1.01,1.006,1.002,0.999,0.995,0.988,0.022,1.02227,1.01508,1.01101,0.00215193,7.07883,6.92464,310.599,275.387,219.444
0.985,1.0075,1.0045,1.0015,0.99925,0.99625,0.991,0.0165,1.01665,1.01129,1.00826,0.00161587,7.06972,6.95393,310.415,275.203,219.161
0.99,1.005,1.003,1.001,0.9995,0.9975,0.994,0.011,1.01107,1.00752,1.0055,0.00107853,7.06058,6.9833,310.23,275.019,218.878
0.995,1.0025,1.0015,1.0005,0.99975,0.99875,0.997,0.0055,1.00552,1.00375,1.00275,0.00053991,7.05143,7.01274,310.045,274.833,218.594
1,1,0.999,0.998,0.997,0.996,0.995,0.005,1.00503,1.00402,1.00301,0.000568803,7.05169,7.01643,310.056,274.84,218.602
