tsac_weight_pct,tsac_weight,sosac_weight_fixed,gini_coefficient,spearman_vs_pure_iusaf,band1_pct_change_vs_pure_iusaf,sids_total_m,ldc_total_m,fund_size_usd_m,position
0.0,0.0,0.03,0.1010524633801892,0.97712086469575,3.4034739454094174,325.49303779482807,335.0578179989944,1000,
0.5,0.005,0.03,0.0984492404155421,0.9520702113260182,2.931138102143413,324.0449241280794,334.6598581426988,1000,
1.0,0.01,0.03,0.0958460174508948,0.9520702113260182,2.4588022588774106,322.5968104613308,334.2618982864032,1000,
1.5,0.015,0.03,0.0933111672848978,0.951423088052425,1.9864664156113865,321.14869679458207,333.8639384301077,1000,A — Strict
2.0,0.02,0.03,0.0908771497595586,0.9477362462725994,1.5141305723454246,319.7005831278335,333.465978573812,1000,
2.5,0.025,0.03,0.0885994382039725,0.9448087838444396,1.0417947290794003,318.25246946108484,333.06801871751645,1000,
3.0,0.03,0.03,0.0866090724592072,0.929022497728076,0.5694588858134181,316.8043557943362,332.67005886122087,1000,
3.5,0.035,0.03,0.0850764506130916,0.9167029434345336,0.0971230425474147,315.3562421275876,332.2720990049253,1000,B — Bounded
4.0,0.04,0.03,0.0839083714668502,0.8977184596428947,-0.3752128007186093,313.9081284608389,331.87413914862964,1000,
4.5,0.045,0.03,0.0831843341770166,0.870898061381895,-0.847548643984571,312.4600147940903,331.476179292334,1000,
5.0,0.05,0.03,0.0828908823179168,0.8519752083782173,-1.319884487250595,311.0119011273417,331.0782194360384,1000,C — Even
5.5,0.055,0.03,0.0828750937088695,0.8218245464677395,-1.7922203305165985,309.56378746059295,330.6802595797428,1000,
6.0,0.06,0.03,0.0831965513284058,0.8083406105016432,-2.264556173782581,308.11567379384445,330.28229972344724,1000,
6.5,0.065,0.03,0.0836261759711574,0.7988076482637778,-2.736892017048605,306.6675601270957,329.8843398671516,1000,
7.0,0.07,0.03,0.0841499482725793,0.7864088543857138,-3.2092278603145874,305.2194464603471,329.48638001085607,1000,
7.5,0.075,0.03,0.0847817074817596,0.7619788502577832,-3.6815637035805904,303.77133279359856,329.0884201545604,1000,
8.0,0.08,0.03,0.0856295324071612,0.7429129257820526,-4.153899546846573,302.3232191268498,328.6904602982648,1000,
8.5,0.085,0.03,0.0866086365187044,0.7273841683153844,-4.626235390112618,300.8751054601011,328.2925004419692,1000,
9.0,0.09,0.03,0.0876627557125808,0.7127182418801739,-5.098571233378601,299.4269917933526,327.89454058567367,1000,
9.5,0.095,0.03,0.0888733456328052,0.6857195545540008,-5.570907076644583,297.9788781266039,327.496580729378,1000,
10.0,0.1,0.03,0.090187329556143,0.6662046057659807,-6.043242919910608,296.5307644598552,327.0986208730824,1000,
