scenario_id,fund_size_usd,tsac_beta,sosac_gamma,check_conservation_shares,sum_final_share,check_conservation_money,sum_total_allocation_usd,check_non_negativity,min_allocation_usd,check_component_consistency,max_component_abs_diff_usd,check_iplc_split,max_iplc_abs_diff_usd,check_band_monotonicity,band_monotonicity_detail,check_floor_not_binding_unexpectedly,floor_binding_count,check_ceiling_not_binding_unexpectedly,ceiling_binding_count,check_sids_sosac_allocation,sids_sosac_component_sum_usd,n_eligible_parties,n_eligible_sids,all_checks_pass
calib_geometric_base_2_beta-0.0_gamma-0.0,1000000000.0,0.0,0.0,PASS,1.0,PASS,999999999.9999998,PASS,2273373.1173628876,PASS,0.0,PASS,0.0,PASS,PASS,PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_2_beta-0.0_gamma-0.03,1000000000.0,0.0,0.03,PASS,1.0,PASS,1000000000.0000002,PASS,2205171.923842001,PASS,8.881784197001252e-10,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_2_beta-0.0_gamma-0.1,1000000000.0,0.0,0.1,PASS,1.0,PASS,999999999.9999999,PASS,2046035.8056265982,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_2_beta-0.025_gamma-0.0,1000000000.0,0.025,0.0,PASS,1.0,PASS,999999999.9999998,PASS,2614945.163930807,PASS,2.761679773755077e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_2_beta-0.025_gamma-0.03,1000000000.0,0.025,0.03,PASS,1.0,PASS,1000000000.0000001,PASS,2546743.9704099204,PASS,1.5543122344752192e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_2_beta-0.025_gamma-0.1,1000000000.0,0.025,0.1,PASS,1.0,PASS,1000000000.0000001,PASS,2387607.8521945183,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_2_beta-0.05_gamma-0.0,1000000000.0,0.05,0.0,PASS,1.0,PASS,1000000000.0,PASS,2956517.2104987274,PASS,1.582067810090848e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_2_beta-0.05_gamma-0.03,1000000000.0,0.05,0.03,PASS,1.0,PASS,1000000000.0,PASS,2888316.01697784,PASS,2.7755575615628914e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_2_beta-0.05_gamma-0.1,1000000000.0,0.05,0.1,PASS,1.0,PASS,1000000000.0,PASS,2729179.8987624384,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_2_beta-0.1_gamma-0.0,1000000000.0,0.1,0.0,PASS,1.0,PASS,1000000000.0,PASS,3639661.3036345667,PASS,1.6653345369377348e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_2_beta-0.1_gamma-0.03,1000000000.0,0.1,0.03,PASS,1.0,PASS,1000000000.0,PASS,3571460.1101136804,PASS,1.5543122344752192e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_2_beta-0.1_gamma-0.1,1000000000.0,0.1,0.1,PASS,1.0,PASS,1000000000.0000001,PASS,3412323.9918982782,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_2_beta-0.15_gamma-0.0,1000000000.0,0.15,0.0,PASS,0.9999999999999999,PASS,999999999.9999999,PASS,4322805.396770406,PASS,3.219646771412954e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_2_beta-0.15_gamma-0.03,1000000000.0,0.15,0.03,PASS,1.0,PASS,999999999.9999998,PASS,4254604.20324952,PASS,1.5543122344752192e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_2_beta-0.15_gamma-0.1,1000000000.0,0.15,0.1,PASS,0.9999999999999998,PASS,999999999.9999999,PASS,4095468.085034118,PASS,2.220446049250313e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
