party,component_iusaf_amt,component_tsac_amt,component_sosac_amt,tsac_iusaf_ratio,sosac_iusaf_ratio,tsac_dominant
China,2.0915032679738563,6.001152032594149,0.0,2.869300815584077,0.0,True
Brazil,3.9215686274509802,5.342708444922563,0.0,1.3623906534552537,0.0,True
India,3.9215686274509802,1.9005289838838921,0.0,0.4846348908903925,0.0,False
Argentina,4.967320261437909,1.7493529390672002,0.0,0.3521723679964232,0.0,False
Kazakhstan,4.967320261437909,1.725708110746822,0.0,0.3474122907161365,0.0,False
Mexico,3.9215686274509802,1.242615950619063,0.0,0.3168670674078611,0.0,False
Algeria,5.7516339869281055,1.5224610274067991,0.0,0.2647006104468639,0.0,False
Indonesia,4.967320261437909,1.209763427276091,0.0,0.24354447943847624,0.0,False
Democratic Republic of the Congo,6.7973856209150325,1.4491486359479138,0.0,0.2131920589423373,0.0,False
Iran (Islamic Republic of),4.967320261437909,1.0371379818819568,0.0,0.20879225161570972,0.0,False
Libya,5.7516339869281055,1.1247369889926522,0.0,0.19555086285894974,0.0,False
Sudan,6.7973856209150325,1.1940670262899817,0.0,0.17566562982919923,0.0,False
Peru,4.967320261437909,0.8182043863228997,0.0,0.16471746198342585,0.0,False
South Africa,4.967320261437909,0.7754340304722237,0.0,0.1561071140292766,0.0,False
Mongolia,6.7973856209150325,0.996227625772266,0.0,0.14656041032995837,0.0,False
Colombia,4.967320261437909,0.7092170051759823,0.0,0.14277658130516485,0.0,False
Egypt,4.967320261437909,0.6363137159102581,0.0,0.1280999980714072,0.0,False
Bolivia (Plurinational State of),5.7516339869281055,0.6924693841434353,0.0,0.12039524519766544,0.0,False
Niger,6.7973856209150325,0.8097027313712633,0.0,0.11911972874981085,0.0,False
Chad,6.7973856209150325,0.8049085650451525,0.0,0.11841443312683494,0.0,False
Angola,6.7973856209150325,0.796918287834968,0.0,0.1172389404218751,0.0,False
Nigeria,4.967320261437909,0.5821843819775838,0.0,0.11720290847706621,0.0,False
Mali,6.7973856209150325,0.7799725079276085,0.0,0.11474595549319626,0.0,False
Ethiopia,6.7973856209150325,0.7213614594688506,0.0,0.10612336855647513,0.0,False
Pakistan,4.967320261437909,0.49276359166296635,0.0,0.09920109147951822,0.0,False
Türkiye,4.967320261437909,0.4919645639419478,0.0,0.09904023458305002,0.0,False
Venezuela (Bolivarian Republic of),5.7516339869281055,0.5638259210594638,0.0,0.09802882491147495,0.0,False
Mauritania,6.7973856209150325,0.6588462976429786,0.0,0.09692642648016897,0.0,False
United Republic of Tanzania,6.7973856209150325,0.5662230042225193,0.0,0.08330011504427447,0.0,False
Namibia,6.7973856209150325,0.5262652259498282,0.0,0.07742171112531127,0.0,False
Mozambique,6.7973856209150325,0.5026715354035951,0.0,0.07395071626610582,0.0,False
Zambia,6.7973856209150325,0.47519137402232836,0.0,0.06990796175520793,0.0,False
Thailand,4.967320261437909,0.3265722179128955,0.0,0.06574414386930659,0.0,False
Kenya,5.7516339869281055,0.37130901294610674,0.0,0.06455713520540264,0.0,False
Ukraine,5.7516339869281055,0.37036532924647503,0.0,0.06439306292580758,0.0,False
Botswana,5.7516339869281055,0.362266384266232,0.0,0.0629849509008335,0.0,False
Myanmar,6.7973856209150325,0.4172011381416929,0.0,0.06137670589969136,0.0,False
Afghanistan,6.7973856209150325,0.41691988038389444,0.0,0.061335328556476776,0.0,False
South Sudan,6.7973856209150325,0.4039436701945547,0.0,0.05942632840362199,0.0,False
Somalia,6.7973856209150325,0.4010096404029749,0.0,0.05899468748236073,0.0,False
Iraq,4.967320261437909,0.27750552362059405,0.0,0.05586624357098801,0.0,False
Madagascar,6.7973856209150325,0.3718994624708305,0.0,0.05471213245965103,0.0,False
Cameroon,5.7516339869281055,0.30216671520210775,0.0,0.05253580389309372,0.0,False
Turkmenistan,5.7516339869281055,0.3003896775505627,0.0,0.052226841665041004,0.0,False
