group_type,group,total_allocation_m
region,Africa,386.19180012314115
region,Americas,203.27728535643107
region,Asia,240.87250577916737
region,Europe,50.84595835954135
region,Oceania,118.81245038171905
income,High income,91.20757699004466
income,Low income,194.2470839426027
income,Lower middle income,351.9942245719491
income,Upper middle income,362.55111449540357
special,LDC,331.0782194360384
special,SIDS,311.0119011273417
