sweep_param,sweep_value,spearman_vs_pure_iusaf,gini_coefficient,pct_below_equality,max_tsac_iusaf_ratio,max_sosac_iusaf_ratio,max_sosac_ratio_parties,china_tsac_iusaf_ratio,brazil_tsac_iusaf_ratio,n_parties_tsac_dominant,tsac_balance_exceeded,band1_per_party_alloc_m,band1_pct_change_vs_iusaf,sids_total_m,ldc_total_m,band6_mean_alloc_m,band5_mean_alloc_m,band_order_preserved
tsac_beta,0.0,0.9771208646957501,0.10105246338018925,36.61971830985916,0.0,0.1468759130180725,"Cuba, Singapore",0.0,0.0,0,False,8.815300421603531,3.4034739454094174,325.49303779482807,335.0578179989944,2.2051719238420007,4.134697357203751,True
tsac_beta,0.005,0.9520702113260182,0.09844924041554215,36.61971830985916,0.27354992231475145,0.1476369281114304,"Cuba, Singapore",0.27354992231475145,0.12988594830868738,0,False,8.775033086286737,2.9311381021434135,324.0449241280794,334.6598581426988,2.793920261514601,4.396246263542658,True
tsac_beta,0.01,0.9520702113260182,0.09584601745089483,36.61971830985916,0.5499493229869481,0.14840587044534412,"Cuba, Singapore",0.5499493229869481,0.2611248752455903,0,False,8.734765750969942,2.4588022588774106,322.5968104613308,334.2618982864032,3.382668599187202,4.657795169881564,True
tsac_beta,0.015,0.951423088052425,0.09331116728489786,36.61971830985916,0.8292429582211571,0.1491828645314454,"Cuba, Singapore",0.8292429582211571,0.3937380317839267,0,False,8.694498415653145,1.9864664156113863,321.14869679458207,333.8639384301077,3.971416936859802,4.919344076220471,True
tsac_beta,0.02,0.9477362462725994,0.09087714975955863,44.36619718309859,1.111476526457832,0.14996803750266352,"Cuba, Singapore",1.111476526457832,0.5277471162858246,1,True,8.654231080336354,1.5141305723454246,319.7005831278335,333.465978573812,4.560165274532403,5.180892982559379,True
tsac_beta,0.025,0.9448087838444396,0.08859943820397254,51.40845070422535,1.3966966933001859,0.1507615191825718,"Cuba, Singapore",1.3966966933001859,0.663174286338007,1,True,8.613963745019557,1.0417947290794005,318.25246946108484,333.06801871751645,5.148913612205003,5.442441888898286,True
tsac_beta,0.03,0.9290224977280761,0.08660907245920724,54.22535211267606,1.684951117236607,0.15156344215694717,"Cuba, Singapore",1.684951117236607,0.8000421709652127,1,True,8.573696409702764,0.5694588858134181,316.8043557943362,332.67005886122087,5.737661949877604,5.703990795237192,False
tsac_beta,0.035,0.9167029434345336,0.08507645061309166,54.929577464788736,1.9762884761883912,0.15237394184762604,"Cuba, Singapore",1.9762884761883912,0.9383738832354902,1,True,8.53342907438597,0.09712304254741477,315.3562421275876,332.2720990049253,6.326410287550203,5.965539701576099,False
tsac_beta,0.04,0.8977184596428947,0.08390837146685026,54.929577464788736,2.27075849491385,0.15319315658874233,"Cuba, Singapore",2.27075849491385,1.0781930332721146,2,True,8.493161739069173,-0.37521280071860935,313.90812846083895,331.87413914862964,6.915158625222804,6.227088607915005,False
tsac_beta,0.045,0.870898061381895,0.08318433417701665,54.22535211267606,2.568411973301205,0.1540212277054382,"Cuba, Singapore",2.568411973301205,1.2195237416875135,2,True,8.452894403752381,-0.847548643984571,312.4600147940903,331.476179292334,7.503906962895405,6.488637514253913,False
