band,n_parties,mean_allocation_m,mean_iusaf_pct,mean_tsac_pct,mean_sosac_pct,tsac_exceeds_iusaf_count
Band 1: <= 0.001%,31,8.614,93.67,0.1429,6.184,0
Band 2: 0.001% - 0.01%,59,7.256,96.37,1.785,1.846,0
Band 3: 0.01% - 0.1%,30,6.141,96.38,2.086,1.531,0
Band 4: 0.1% - 1.0%,18,5.507,92.86,5.693,1.452,0
Band 5: 1.0% - 10.0%,3,5.442,75.89,24.11,0,0
Band 6: > 10.0%,1,5.149,41.72,58.28,0,1
Total,142,7.042,94.52,2.855,2.624,1
