Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
48,Eswatini,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
49,Ethiopia,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
50,Fiji,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
51,Georgia,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
52,Guinea,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
53,Haiti,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,True,True,False,Band 2: 0.001% - 0.01%
54,Honduras,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
55,Jamaica,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
56,Kyrgyzstan,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
57,Lao People's Democratic Republic,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
58,Madagascar,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
59,Malawi,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
60,Maldives,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
61,Mali,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
62,Mauritania,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
63,Mauritius,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
64,Mongolia,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
65,Montenegro,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
66,Mozambique,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
67,Myanmar,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
68,Namibia,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
69,Nepal,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
70,Nicaragua,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
71,Niger,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
72,North Macedonia,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
73,Papua New Guinea,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,False,True,False,Band 2: 0.001% - 0.01%
74,Republic of Moldova,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
75,Rwanda,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
76,Saint Lucia,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
77,Senegal,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
78,Seychelles,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,High income,False,True,False,Band 2: 0.001% - 0.01%
79,Somalia,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
80,South Sudan,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
81,Sudan,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
82,Suriname,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
83,Syrian Arab Republic,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,False,False,False,Band 2: 0.001% - 0.01%
84,Tajikistan,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
85,Togo,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
86,Uganda,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
87,United Republic of Tanzania,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
88,Yemen,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
89,Zambia,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
90,Zimbabwe,1.4777,0.7388,0.7388,1.4777,0.0000,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
91,Algeria,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
92,Azerbaijan,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
93,Bahamas,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,High income,False,True,False,Band 3: 0.01% - 0.1%
94,Belarus,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
95,Bolivia (Plurinational State of),1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
96,Bosnia and Herzegovina,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
97,Botswana,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
98,Cameroon,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
99,Côte d’Ivoire,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
100,Dominican Republic,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,True,False,Band 3: 0.01% - 0.1%
101,Ecuador,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
102,El Salvador,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
103,Gabon,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
104,Ghana,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
105,Guatemala,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
106,Guyana,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,High income,False,True,False,Band 3: 0.01% - 0.1%
107,Jordan,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
108,Kenya,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
109,Lebanon,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
110,Libya,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
111,Morocco,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
112,Paraguay,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
113,Serbia,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
114,Sri Lanka,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
115,Trinidad and Tobago,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,High income,False,True,False,Band 3: 0.01% - 0.1%
116,Tunisia,1.2504,0.6252,0.6252,1.2504,0.0000,0.0000,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
